0
SC400100E0-PSG.edf
False
False
False
0.75
0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf
False,False
False,False
False,False
0.75,0.1276595744680851
0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf
False,False,False
False,False,False
False,False,False
0.75,0.1276595744680851,0.3333333333333333
0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf
False,False,False,True
False,False,False,True
False,False,False,True
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337
0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf
False,False,False,True,False
False,False,False,True,False
False,False,False,True,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778
0,0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf,SC402200E0-PSG.edf
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,True,False,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778,0.05555555555555555
0,0,0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf,SC402200E0-PSG.edf,SC403100E0-PSG.edf
False,False,False,True,False,False,False
False,False,False,True,False,False,False
False,False,False,True,False,False,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778,0.05555555555555555,0.1111111111111111
0,0,0,0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf,SC402200E0-PSG.edf,SC403100E0-PSG.edf,SC403200E0-PSG.edf
False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778,0.05555555555555555,0.1111111111111111,0.0
0,0,0,0,0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf,SC402200E0-PSG.edf,SC403100E0-PSG.edf,SC403200E0-PSG.edf,SC404100E0-PSG.edf
False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778,0.05555555555555555,0.1111111111111111,0.0,0.25
0,0,0,0,0,0,0,0,0,0
SC400100E0-PSG.edf,SC400200E0-PSG.edf,SC401100E0-PSG.edf,SC401200E0-PSG.edf,SC402100E0-PSG.edf,SC402200E0-PSG.edf,SC403100E0-PSG.edf,SC403200E0-PSG.edf,SC404100E0-PSG.edf,SC404200E0-PSG.edf
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False
0.75,0.1276595744680851,0.3333333333333333,0.33333333333333337,0.17777777777777778,0.05555555555555555,0.1111111111111111,0.0,0.25,0.20000000000000004
